YUNUS AAAAAAAAAAAAA GET /dashboard 304  - 2581.137 ms {} ::1
YUNUS AAAAAAAAAAAAA GET /dashboard 304  - 1193.656 ms {} ::1
YUNUS AAAAAAAAAAAAA POST /ajax/dyndata 200 87 - 26.052 ms {"kdata":{"where":{"id":"7"},"hash":"9154b771d5879a923875ace15a24d90e"}} ::1
YUNUS AAAAAAAAAAAAA POST /ajax/dyndata 200 84 - 30.430 ms {"kdata":{"where":{"id":"6"},"hash":"9154b771d5879a923875ace15a24d90e"}} ::1
YUNUS AAAAAAAAAAAAA POST /ajax/dyndata 200 84 - 27.980 ms {"kdata":{"where":{"id":"5"},"hash":"9154b771d5879a923875ace15a24d90e"}} ::1
YUNUS AAAAAAAAAAAAA POST /ajax/dyndata 200 84 - 23.089 ms {"kdata":{"where":{"id":"3"},"hash":"9154b771d5879a923875ace15a24d90e"}} ::1
YUNUS AAAAAAAAAAAAA POST /ajax/dyndata 200 84 - 16.415 ms {"kdata":{"where":{"id":"1"},"hash":"9154b771d5879a923875ace15a24d90e"}} ::1
YUNUS AAAAAAAAAAAAA GET /duyuru 200 29942 - 570.591 ms {} ::1
YUNUS AAAAAAAAAAAAA POST /ajax/dyndata 200 84 - 14.714 ms {"kdata":{"where":{"id":"1"},"hash":"82e4d36f044c4679ec3787af9d25c2b4"}} ::1
YUNUS AAAAAAAAAAAAA POST /ajax/dyndata 200 84 - 7.919 ms {"kdata":{"where":{"id":"3"},"hash":"82e4d36f044c4679ec3787af9d25c2b4"}} ::1
YUNUS AAAAAAAAAAAAA POST /ajax/dyndata 200 87 - 29.884 ms {"kdata":{"where":{"id":"7"},"hash":"82e4d36f044c4679ec3787af9d25c2b4"}} ::1
YUNUS AAAAAAAAAAAAA POST /ajax/dyndata 200 84 - 19.502 ms {"kdata":{"where":{"id":"2"},"hash":"82e4d36f044c4679ec3787af9d25c2b4"}} ::1
YUNUS AAAAAAAAAAAAA POST /ajax/dyndata 200 84 - 9.209 ms {"kdata":{"where":{"id":"5"},"hash":"82e4d36f044c4679ec3787af9d25c2b4"}} ::1
YUNUS AAAAAAAAAAAAA POST /ajax/dyndata 200 84 - 24.569 ms {"kdata":{"where":{"id":"1"},"hash":"82e4d36f044c4679ec3787af9d25c2b4"}} ::1
YUNUS AAAAAAAAAAAAA GET /duyuru 200 29942 - 590.342 ms {} ::1
YUNUS AAAAAAAAAAAAA POST /ajax/dyndata 200 84 - 20.773 ms {"kdata":{"where":{"id":"1"},"hash":"94d1c8bc4a9bd231eb6ca4f100c94775"}} ::1
YUNUS AAAAAAAAAAAAA POST /ajax/dyndata 200 84 - 23.290 ms {"kdata":{"where":{"id":"3"},"hash":"94d1c8bc4a9bd231eb6ca4f100c94775"}} ::1
YUNUS AAAAAAAAAAAAA GET /duyuru 200 30078 - 567.126 ms {} ::1
YUNUS AAAAAAAAAAAAA GET /duyuru 200 30134 - 320.857 ms {} ::1
YUNUS AAAAAAAAAAAAA GET /duyuru 200 30078 - 306.188 ms {} ::1
YUNUS AAAAAAAAAAAAA GET /duyuru 200 30115 - 306.823 ms {} ::1
YUNUS AAAAAAAAAAAAA GET /duyuru 200 30100 - 302.989 ms {} ::1
YUNUS AAAAAAAAAAAAA GET /duyuru 200 30100 - 645.791 ms {} ::1
YUNUS AAAAAAAAAAAAA GET /duyuru 200 30100 - 316.344 ms {} ::1
YUNUS AAAAAAAAAAAAA GET /duyuru 200 30100 - 324.005 ms {} ::1
YUNUS AAAAAAAAAAAAA GET /duyuru 200 30109 - 648.285 ms {} ::1
YUNUS AAAAAAAAAAAAA GET /duyuru 200 30109 - 336.587 ms {} ::1
YUNUS AAAAAAAAAAAAA GET /duyuru 200 30109 - 337.589 ms {} ::1
YUNUS AAAAAAAAAAAAA GET /duyuru 200 30109 - 335.287 ms {} ::1
YUNUS AAAAAAAAAAAAA GET /duyuru 200 30118 - 791.182 ms {} ::1
YUNUS AAAAAAAAAAAAA GET /duyuru 200 30118 - 580.319 ms {} ::1
YUNUS AAAAAAAAAAAAA GET /duyuru 200 30118 - 650.164 ms {} ::1
YUNUS AAAAAAAAAAAAA GET /duyuru 200 30206 - 404.604 ms {} ::1
YUNUS AAAAAAAAAAAAA GET /duyuru 200 30224 - 1052.727 ms {} ::1
YUNUS AAAAAAAAAAAAA GET /duyuru 200 30277 - 570.458 ms {} ::1
YUNUS AAAAAAAAAAAAA GET /duyuru 200 30277 - 355.030 ms {} ::1
YUNUS AAAAAAAAAAAAA GET /duyuru 200 30277 - 327.739 ms {} ::1
YUNUS AAAAAAAAAAAAA GET /duyuru 200 30281 - 418.566 ms {} ::1
YUNUS AAAAAAAAAAAAA GET /duyuru 200 30272 - 398.054 ms {} ::1
YUNUS AAAAAAAAAAAAA GET /duyuru 200 30272 - 333.647 ms {} ::1
YUNUS AAAAAAAAAAAAA GET /duyuru 200 30272 - 307.883 ms {} ::1
YUNUS AAAAAAAAAAAAA GET /duyuru 200 30272 - 348.657 ms {} ::1
YUNUS AAAAAAAAAAAAA GET /duyuru 200 30272 - 327.022 ms {} ::1
YUNUS AAAAAAAAAAAAA GET /duyuru 200 30272 - 264.275 ms {} ::1
YUNUS AAAAAAAAAAAAA GET /duyuru 200 30272 - 312.900 ms {} ::1
YUNUS AAAAAAAAAAAAA POST /ajax/dyndata 200 84 - 24.663 ms {"kdata":{"where":{"id":"4"},"hash":"012a2aa0b39be374041a76184aa7f128"}} ::1
YUNUS AAAAAAAAAAAAA POST /ajax/dyndata 200 84 - 7.729 ms {"kdata":{"where":{"id":"6"},"hash":"012a2aa0b39be374041a76184aa7f128"}} ::1
